pe_type,epoch,train_loss,valid_loss,token_acc,short_acc,medium_acc,long_acc
none,1,5.991565,5.278243,,,,
none,2,4.948752,4.914460,,,,
none,3,4.502760,4.706218,,,,
none,4,4.166027,4.578259,,,,
none,5,3.888079,4.479075,,,,
absolute,1,5.991778,5.272165,,,,
absolute,2,4.948743,4.921731,,,,
absolute,3,4.496169,4.706851,,,,
absolute,4,4.161413,4.576455,,,,
absolute,5,3.885126,4.471336,,,,
sinusoidal,1,5.989463,5.270190,,,,
sinusoidal,2,4.947124,4.915925,,,,
sinusoidal,3,4.496885,4.702072,,,,
sinusoidal,4,4.162232,4.583457,,,,
sinusoidal,5,3.884614,4.466998,,,,
learned,1,5.998744,5.283068,,,,
learned,2,4.942957,4.897549,,,,
learned,3,4.476041,4.700788,,,,
learned,4,4.135031,4.542896,,,,
learned,5,3.854620,4.467481,,,,
gated_mix,1,5.990820,5.280041,,,,
gated_mix,2,4.950462,4.919830,,,,
gated_mix,3,4.500611,4.703175,,,,
gated_mix,4,4.163377,4.579521,,,,
gated_mix,5,3.881836,4.462280,,,,
