pe_type,epoch,train_loss,valid_loss,token_acc,short_acc,medium_acc,long_acc,epoch_time,max_gpu_memory_mb
none,1,5.857674,5.016498,0.1731,0.2131,0.1459,0.0895,40.4,
none,2,4.759581,4.519240,0.2224,0.2728,0.1899,0.0940,39.8,
none,3,4.331194,4.247922,0.2530,0.3091,0.2169,0.0950,35.7,
none,4,4.041705,4.058144,0.2882,0.3432,0.2537,0.1056,37.0,
none,5,3.810563,3.922867,0.3003,0.3575,0.2661,0.1091,36.8,
none,6,3.615336,3.799263,0.3198,0.3793,0.2821,0.1296,36.4,
none,7,3.446867,3.710654,0.3326,0.3974,0.2935,0.1165,36.1,
none,8,3.294387,3.650799,0.3485,0.4093,0.3123,0.1284,35.7,
none,9,3.157111,3.577417,0.3570,0.4270,0.3157,0.1198,36.5,
none,10,3.033639,3.540601,0.3585,0.4268,0.3178,0.1286,36.8,
none,11,2.922367,3.503372,0.3706,0.4386,0.3294,0.1397,39.4,
none,12,2.821364,3.484907,0.3767,0.4486,0.3326,0.1325,38.7,
absolute,1,5.860495,5.018379,0.1734,0.2151,0.1453,0.0818,26.6,
absolute,2,4.760967,4.515859,0.2243,0.2755,0.1916,0.0874,26.8,
absolute,3,4.330256,4.244911,0.2534,0.3077,0.2191,0.0879,46.0,
absolute,4,4.039907,4.055489,0.2848,0.3399,0.2502,0.1077,43.2,
absolute,5,3.808231,3.921756,0.3025,0.3616,0.2657,0.1166,42.6,
absolute,6,3.613592,3.796347,0.3191,0.3772,0.2823,0.1356,38.1,
absolute,7,3.443792,3.708444,0.3320,0.3950,0.2936,0.1237,34.2,
absolute,8,3.292691,3.645321,0.3482,0.4129,0.3096,0.1188,42.9,
absolute,9,3.156105,3.582092,0.3547,0.4203,0.3164,0.1290,44.1,
absolute,10,3.032260,3.536592,0.3559,0.4204,0.3171,0.1308,38.7,
absolute,11,2.920772,3.501720,0.3721,0.4398,0.3297,0.1443,38.1,
absolute,12,2.818942,3.480781,0.3749,0.4429,0.3310,0.1554,38.1,
sinusoidal,1,5.859992,5.019436,0.1733,0.2144,0.1456,0.0812,40.9,
sinusoidal,2,4.757969,4.511419,0.2274,0.2786,0.1929,0.1030,37.7,
sinusoidal,3,4.328318,4.245090,0.2560,0.3127,0.2207,0.0901,38.8,
sinusoidal,4,4.037552,4.051770,0.2870,0.3461,0.2493,0.1044,45.0,
sinusoidal,5,3.806713,3.914132,0.3041,0.3620,0.2682,0.1161,39.7,
sinusoidal,6,3.611056,3.797392,0.3194,0.3770,0.2845,0.1280,41.2,
sinusoidal,7,3.440634,3.704583,0.3350,0.3980,0.2964,0.1253,41.4,
sinusoidal,8,3.290095,3.644076,0.3452,0.4097,0.3060,0.1305,40.5,
sinusoidal,9,3.152656,3.577228,0.3572,0.4288,0.3134,0.1260,42.4,
sinusoidal,10,3.030551,3.537423,0.3622,0.4294,0.3232,0.1278,41.0,
sinusoidal,11,2.917229,3.500907,0.3690,0.4412,0.3238,0.1417,42.2,
sinusoidal,12,2.816488,3.481467,0.3806,0.4509,0.3371,0.1473,56.2,
learned,1,5.853456,5.013401,0.1745,0.2158,0.1478,0.0786,40.9,
learned,2,4.741898,4.491734,0.2403,0.2951,0.2049,0.0942,38.1,
learned,3,4.301333,4.201554,0.2771,0.3358,0.2400,0.1136,40.2,
learned,4,4.006921,4.013189,0.3077,0.3688,0.2684,0.1281,36.3,
learned,5,3.773360,3.865672,0.3252,0.3868,0.2872,0.1310,37.3,
learned,6,3.577658,3.750664,0.3439,0.4096,0.3033,0.1350,38.1,
learned,7,3.401717,3.654683,0.3581,0.4253,0.3173,0.1438,38.8,
learned,8,3.251820,3.586900,0.3819,0.4504,0.3387,0.1496,36.0,
learned,9,3.115802,3.533734,0.3792,0.4484,0.3362,0.1592,40.0,
learned,10,2.994313,3.484564,0.3960,0.4657,0.3507,0.1694,34.9,
learned,11,2.878944,3.461138,0.3915,0.4688,0.3430,0.1494,37.9,
learned,12,2.778113,3.446140,0.4076,0.4816,0.3613,0.1724,37.1,
gated_mix,1,5.861815,5.017934,0.1693,0.2106,0.1425,0.0709,40.7,
gated_mix,2,4.763106,4.520529,0.2234,0.2723,0.1920,0.0954,38.4,
gated_mix,3,4.331399,4.244338,0.2575,0.3122,0.2223,0.0962,36.1,
gated_mix,4,4.039653,4.055491,0.2896,0.3455,0.2546,0.1063,35.9,
gated_mix,5,3.808416,3.917966,0.3046,0.3610,0.2702,0.1168,35.4,
gated_mix,6,3.613514,3.793589,0.3176,0.3773,0.2811,0.1224,38.5,
gated_mix,7,3.444441,3.707460,0.3310,0.3940,0.2941,0.1172,36.2,
gated_mix,8,3.293926,3.649311,0.3502,0.4145,0.3113,0.1280,37.3,
gated_mix,9,3.157401,3.578782,0.3577,0.4252,0.3190,0.1162,37.2,
gated_mix,10,3.032404,3.538030,0.3594,0.4235,0.3224,0.1339,39.1,
gated_mix,11,2.921489,3.507375,0.3732,0.4393,0.3324,0.1499,37.9,
gated_mix,12,2.818858,3.481109,0.3790,0.4460,0.3388,0.1429,40.0,
