pe_type,epoch,train_loss,valid_loss,token_acc,short_acc,medium_acc,long_acc,epoch_time,max_gpu_memory_mb
none,1,5.419454,4.558789,0.2144,0.2685,0.1811,0.0821,103.4,
none,2,4.339339,4.071591,0.2781,0.3398,0.2412,0.0934,76.9,
none,3,3.932084,3.786633,0.3137,0.3762,0.2782,0.1052,73.9,
none,4,3.656920,3.603799,0.3422,0.4091,0.3031,0.1270,73.2,
none,5,3.445839,3.471905,0.3626,0.4323,0.3222,0.1323,82.2,
none,6,3.277876,3.379949,0.3825,0.4580,0.3393,0.1339,77.8,
none,7,3.139027,3.292989,0.3937,0.4694,0.3532,0.1205,72.8,
none,8,3.026631,3.248984,0.4057,0.4851,0.3644,0.1255,80.2,
none,9,2.929554,3.202131,0.4237,0.5034,0.3787,0.1319,73.9,
none,10,2.844139,3.180794,0.4206,0.5042,0.3736,0.1468,84.4,
none,11,2.772770,3.149871,0.4359,0.5131,0.3938,0.1459,76.1,
none,12,2.705851,3.123021,0.4359,0.5202,0.3909,0.1362,76.6,
none,13,2.650244,3.106593,0.4428,0.5272,0.3946,0.1546,75.2,
none,14,2.599988,3.097307,0.4511,0.5330,0.4066,0.1517,73.7,
none,15,2.555408,3.081560,0.4519,0.5335,0.4077,0.1548,73.4,
none,16,2.513406,3.066092,0.4551,0.5354,0.4128,0.1492,72.8,
none,17,2.475834,3.060480,0.4543,0.5432,0.4036,0.1569,72.1,
none,18,2.440625,3.061818,0.4680,0.5483,0.4238,0.1597,72.0,
none,19,2.409768,3.049858,0.4665,0.5517,0.4182,0.1687,71.5,
none,20,2.382114,3.044035,0.4695,0.5488,0.4274,0.1681,70.7,
absolute,1,5.416509,4.553846,0.2141,0.2684,0.1808,0.0802,81.1,
absolute,2,4.337384,4.077493,0.2803,0.3420,0.2431,0.0946,73.3,
absolute,3,3.932372,3.784191,0.3155,0.3779,0.2805,0.1048,76.2,
absolute,4,3.656516,3.606482,0.3410,0.4071,0.3048,0.1144,76.3,
absolute,5,3.445901,3.470864,0.3620,0.4340,0.3212,0.1245,73.6,
absolute,6,3.276793,3.377742,0.3820,0.4576,0.3403,0.1268,76.4,
absolute,7,3.137829,3.293014,0.4012,0.4772,0.3592,0.1306,73.5,
absolute,8,3.026224,3.241207,0.4119,0.4894,0.3701,0.1383,75.7,
absolute,9,2.928109,3.199215,0.4209,0.5009,0.3769,0.1378,74.2,
absolute,10,2.843635,3.171881,0.4242,0.5072,0.3787,0.1399,78.8,
absolute,11,2.771694,3.145895,0.4405,0.5230,0.3922,0.1543,71.5,
absolute,12,2.705791,3.114554,0.4439,0.5261,0.3996,0.1438,75.3,
absolute,13,2.648918,3.100438,0.4458,0.5273,0.4015,0.1497,76.6,
absolute,14,2.597339,3.089848,0.4547,0.5353,0.4095,0.1657,75.2,
absolute,15,2.555115,3.079349,0.4517,0.5370,0.4063,0.1461,72.8,
absolute,16,2.512854,3.064384,0.4569,0.5367,0.4139,0.1613,75.7,
absolute,17,2.476285,3.057909,0.4605,0.5439,0.4140,0.1631,79.7,
absolute,18,2.440460,3.054327,0.4656,0.5458,0.4224,0.1634,78.0,
absolute,19,2.409556,3.042058,0.4685,0.5496,0.4251,0.1639,81.7,
absolute,20,2.382090,3.047188,0.4685,0.5475,0.4275,0.1659,73.4,
sinusoidal,1,5.416235,4.551648,0.2156,0.2709,0.1818,0.0795,83.8,
sinusoidal,2,4.336751,4.073397,0.2815,0.3410,0.2469,0.0955,76.5,
sinusoidal,3,3.929714,3.780423,0.3161,0.3754,0.2842,0.1060,74.0,
sinusoidal,4,3.653730,3.597965,0.3458,0.4103,0.3097,0.1218,75.7,
sinusoidal,5,3.443534,3.471384,0.3609,0.4287,0.3246,0.1225,75.4,
sinusoidal,6,3.274366,3.374557,0.3831,0.4558,0.3426,0.1373,75.6,
sinusoidal,7,3.136533,3.288757,0.3982,0.4705,0.3588,0.1317,74.8,
sinusoidal,8,3.023620,3.240680,0.4118,0.4904,0.3701,0.1286,75.6,
sinusoidal,9,2.925955,3.198017,0.4236,0.5021,0.3819,0.1310,71.4,
sinusoidal,10,2.841139,3.165367,0.4283,0.5089,0.3838,0.1452,78.4,
sinusoidal,11,2.769045,3.139625,0.4389,0.5163,0.3965,0.1557,75.4,
sinusoidal,12,2.701639,3.117505,0.4431,0.5256,0.3995,0.1470,72.2,
sinusoidal,13,2.644907,3.102164,0.4491,0.5273,0.4071,0.1585,71.0,
sinusoidal,14,2.595874,3.084799,0.4528,0.5336,0.4089,0.1597,72.6,
sinusoidal,15,2.552308,3.076378,0.4522,0.5342,0.4077,0.1586,72.8,
sinusoidal,16,2.509530,3.062660,0.4612,0.5371,0.4219,0.1620,70.7,
sinusoidal,17,2.474149,3.048442,0.4638,0.5452,0.4210,0.1674,74.8,
sinusoidal,18,2.438019,3.049487,0.4637,0.5432,0.4212,0.1691,74.3,
sinusoidal,19,2.408337,3.039530,0.4726,0.5534,0.4286,0.1742,70.5,
sinusoidal,20,2.378353,3.033648,0.4703,0.5515,0.4265,0.1734,78.2,
learned,1,5.403677,4.522413,0.2353,0.2910,0.2021,0.0919,81.7,
learned,2,4.311526,4.044627,0.2987,0.3609,0.2635,0.1081,80.6,
learned,3,3.902874,3.764263,0.3312,0.4008,0.2919,0.1213,82.3,
learned,4,3.622399,3.569593,0.3635,0.4336,0.3242,0.1368,76.1,
learned,5,3.409797,3.430897,0.3882,0.4620,0.3477,0.1410,78.2,
learned,6,3.238746,3.324023,0.4162,0.4882,0.3752,0.1637,74.0,
learned,7,3.099774,3.251041,0.4275,0.5015,0.3877,0.1568,73.5,
learned,8,2.985985,3.201168,0.4405,0.5143,0.4008,0.1702,75.7,
learned,9,2.886366,3.157899,0.4506,0.5267,0.4105,0.1638,76.8,
learned,10,2.803108,3.127171,0.4577,0.5321,0.4189,0.1641,73.0,
learned,11,2.730858,3.100961,0.4654,0.5426,0.4221,0.1832,75.1,
learned,12,2.666197,3.081650,0.4701,0.5495,0.4268,0.1873,76.8,
learned,13,2.609779,3.069708,0.4780,0.5588,0.4340,0.1928,75.0,
learned,14,2.561276,3.045571,0.4789,0.5576,0.4362,0.1957,74.0,
learned,15,2.515747,3.038065,0.4824,0.5608,0.4408,0.1917,79.5,
learned,16,2.474869,3.022599,0.4870,0.5609,0.4473,0.2059,75.8,
learned,17,2.438461,3.017709,0.4895,0.5684,0.4484,0.1883,73.4,
learned,18,2.404892,3.006291,0.4919,0.5701,0.4510,0.1931,76.9,
learned,19,2.376857,3.000937,0.4944,0.5740,0.4522,0.1949,80.3,
learned,20,2.344504,3.000237,0.4981,0.5758,0.4578,0.2033,77.3,
gated_mix,1,5.420721,4.559068,0.2136,0.2687,0.1795,0.0807,84.2,
gated_mix,2,4.339306,4.071210,0.2768,0.3365,0.2424,0.0910,77.4,
gated_mix,3,3.931184,3.785353,0.3135,0.3768,0.2778,0.1033,78.7,
gated_mix,4,3.654503,3.599723,0.3454,0.4094,0.3103,0.1202,76.5,
gated_mix,5,3.444781,3.468835,0.3653,0.4342,0.3276,0.1207,73.0,
gated_mix,6,3.275290,3.380817,0.3781,0.4522,0.3376,0.1324,81.9,
gated_mix,7,3.135203,3.294228,0.3940,0.4696,0.3531,0.1288,78.4,
